year_team,po_year,team_full,mean_age,mean_height,mean_weight,PtsSeason,OppPtsSeason,PtsDiff,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,playoffs
2001_Vancouver Grizzlies,2001,Vancouver Grizzlies,28.928571428571427,197.3942857142857,98.72105885714286,91.7,97.5,-5.799999999999997,40.5,23.2,7.2,4.4,15.1,21.1,29.6,10.9,False
2001_Washington Wizards,2001,Washington Wizards,28.066666666666666,199.64399999999998,99.85071893333334,93.2,99.9,-6.700000000000003,41.3,20.1,7.7,4.7,16.1,23.3,28.9,12.4,False
2002_Atlanta Hawks,2002,Atlanta Hawks,27.0,203.2,102.88978533333334,94.0,98.3,-4.299999999999997,41.5,20.2,8.1,4.3,14.7,20.7,29.8,11.6,False
2002_Boston Celtics,2002,Boston Celtics,27.071428571428573,199.57142857142858,101.604608,96.4,94.1,2.3000000000000114,42.4,20.6,9.5,3.8,13.3,21.9,31.6,10.8,True
2002_Charlotte Hornets,2002,Charlotte Hornets,28.357142857142858,203.01857142857142,106.4645222857143,93.9,92.9,1.0,43.7,21.3,8.1,5.7,13.5,21.9,30.6,13.1,True
2002_Chicago Bulls,2002,Chicago Bulls,25.076923076923077,200.8553846153846,99.96469846153846,89.5,98.0,-8.5,40.0,22.2,7.7,4.4,14.3,22.4,28.8,11.3,False
2002_Cleveland Cavaliers,2002,Cleveland Cavaliers,26.533333333333335,201.84533333333331,104.08424426666667,95.3,98.6,-3.299999999999997,42.1,23.1,7.0,5.7,13.8,21.4,30.3,11.8,False
2002_Dallas Mavericks,2002,Dallas Mavericks,28.647058823529413,200.36117647058822,99.0164654117647,105.2,101.0,4.200000000000003,42.5,21.9,7.0,4.8,11.7,22.7,31.3,11.2,True
2002_Denver Nuggets,2002,Denver Nuggets,27.705882352941178,201.10823529411766,103.01874776470588,92.2,98.0,-5.799999999999997,41.8,22.2,7.5,5.6,13.8,22.8,28.2,13.6,False
2002_Detroit Pistons,2002,Detroit Pistons,28.466666666666665,200.99866666666668,101.39293173333334,94.3,92.2,2.0999999999999943,38.6,21.2,7.8,6.8,13.8,20.7,28.8,9.8,True
